Canton,WeekNumber,Start_date,End_date,Restaurant_shap,Bar_shap,Nightclubs_shap,Retail_shap,BarbersSalonSpa_shap,EntertainmentTheaters_shap,Schools_shap,MaskInShop_shap,TravelRestrictions_shap,TourismPotential_shap,Max,Min,AbsMax
SO,20,May11_2020,May17_2020,0,0,0,0,0,0,0,0,0,0,Restaurant,Restaurant,Restaurant
SO,21,May18_2020,May24_2020,0,0,0,0,0,0,0,0,0,0,Restaurant,Restaurant,Restaurant
SO,22,May25_2020,May31_2020,0,0,0,0,0,0,0,0,0,0,Restaurant,Restaurant,Restaurant
SO,23,June1_2020,June7_2020,0.0392155722,-2.87560000000048E-006,0.1643806304,0.010727731,0.0033843376,0.0282861348,0.0009367615,0.0074360174,0.000474796,0.0022337756,Nightclubs,Bar,Nightclubs
SO,24,June8_2020,June14_2020,0.0392155722,-2.87560000000048E-006,0.1643806304,0.010727731,0.0033843376,0.0282861348,0.0009367615,0.0074360174,0.000474796,0.0022337756,Nightclubs,Bar,Nightclubs
SO,25,June15_2020,June21_2020,0.0392155722,-2.87560000000048E-006,0.1643806304,0.010727731,0.0033843376,0.0282861348,0.0009367615,0.0074360174,0.000474796,0.0022337756,Nightclubs,Bar,Nightclubs
SO,26,June22_2020,June28_2020,0.0661233454,0.034660577,0.1643806304,0.0132071786,0.0038629654,0.0282861348,0.0012405532,0.0099493254,0.002440291,0.0035537208,Nightclubs,Schools,Nightclubs
SO,27,June29_2020,July5_2020,0.0661233454,0.034660577,0.1643806304,0.0132071786,0.0038629654,0.0282861348,0.0012405532,0.0099493254,0.002440291,0.0035537208,Nightclubs,Schools,Nightclubs
SO,28,July6_2020,July12_2020,0.0392487746,0.0011871846,0.1096639054,0.0115016692,0.0035266476,0.0278809188,0.0007545981,-0.0050596364,0.0018774154,0.0019414556,Nightclubs,MaskInShop,Nightclubs
SO,29,July13_2020,July19_2020,0.0392487746,0.0011871846,0.1096639054,0.0115016692,0.0035266476,0.0278809188,0.0007545981,-0.0050596364,0.0018774154,0.0019414556,Nightclubs,MaskInShop,Nightclubs
SO,30,July20_2020,July26_2020,0.0392487746,0.0011871846,0.1096639054,0.0115016692,0.0035266476,0.0278809188,0.0007545981,-0.0050596364,0.0018774154,0.0019414556,Nightclubs,MaskInShop,Nightclubs
SO,31,July27_2020,August2_2020,0.0392487746,0.0011871846,0.1096639054,0.0115016692,0.0035266476,0.0278809188,0.0007545981,-0.0050596364,0.0018774154,0.0019414556,Nightclubs,MaskInShop,Nightclubs
SO,32,August3_2020,August9_2020,0.0392487746,0.0011871846,0.1096639054,0.0115016692,0.0035266476,0.0278809188,0.0007545981,-0.0050596364,0.0018774154,0.0019414556,Nightclubs,MaskInShop,Nightclubs
SO,33,August10_2020,August16_2020,0.0398662292,0.004167072,0.111803776,0.012359354,0.0036184526,0.0278809188,0.0224845945,-0.0061680164,0.0026579042,0.0004994248,Nightclubs,MaskInShop,Nightclubs
SO,34,August17_2020,August23_2020,0.0398662292,0.004167072,0.111803776,0.012359354,0.0036184526,0.0278809188,0.0224845945,-0.0061680164,0.0026579042,0.0004994248,Nightclubs,MaskInShop,Nightclubs
SO,35,August24_2020,August30_2020,0.0398662292,0.004167072,0.111803776,0.012359354,0.0036184526,0.0278809188,0.0224845945,-0.0061680164,0.0026579042,0.0004994248,Nightclubs,MaskInShop,Nightclubs
SO,36,August31_2020,September6_2020,0.0398662292,0.004167072,0.111803776,0.012359354,0.0036184526,0.0278809188,0.0224845945,-0.0061680164,0.0026579042,0.0004994248,Nightclubs,MaskInShop,Nightclubs
SZ,11,March9_2020,March15_2020,0.671571705,0.432794831,0.1699719826,0.0138107564,0.0065960846,0.0284974662,0.0063156599,0.0080579072,0.013136424,-0.0020912752,Restaurant,TourismPotential,Restaurant
SZ,12,March16_2020,March22_2020,0.006309835,0.002412137,0.0116659872,0.0633212692,0.0255017098,0.0009128322,0.0001609561,0.0004171594,0.0026405694,-0.0028480158,Retail,TourismPotential,Retail
SZ,13,March23_2020,March29_2020,0.006309835,0.002412137,0.0116659872,0.0633212692,0.0255017098,0.0009128322,0.0001609561,0.0004171594,0.0026405694,-0.0028480158,Retail,TourismPotential,Retail
SZ,14,March30_2020,April5_2020,0.006309835,0.002412137,0.0116659872,0.0633212692,0.0255017098,0.0009128322,0.0001609561,0.0004171594,0.0026405694,-0.0028480158,Retail,TourismPotential,Retail
SZ,15,April6_2020,April12_2020,0.006309835,0.002412137,0.0116659872,0.0633212692,0.0255017098,0.0009128322,0.0001609561,0.0004171594,0.0026405694,-0.0028480158,Retail,TourismPotential,Retail
SZ,16,April13_2020,April19_2020,0.006309835,0.002412137,0.0116659872,0.0633212692,0.0255017098,0.0009128322,0.0001609561,0.0004171594,0.0026405694,-0.0028480158,Retail,TourismPotential,Retail
SZ,17,April20_2020,April26_2020,0.006309835,0.002412137,0.0116659872,0.0633212692,0.0255017098,0.0009128322,0.0001609561,0.0004171594,0.0026405694,-0.0028480158,Retail,TourismPotential,Retail
SZ,18,April27_2020,May3_2020,0.0006834954,0.0003053232,0,0.000105805,4.12160000000036E-006,0,1.73808E-005,-0.0002239076,2.74847999999911E-005,-0.0016301474,Restaurant,TourismPotential,TourismPotential
SZ,19,May4_2020,May10_2020,0.0006834954,0.0003053232,0,0.000105805,4.12160000000036E-006,0,1.73808E-005,-0.0002239076,2.74847999999911E-005,-0.0016301474,Restaurant,TourismPotential,TourismPotential
SZ,20,May11_2020,May17_2020,0,0,0,0,0,0,0,0,0,0,Restaurant,Restaurant,Restaurant
SZ,21,May18_2020,May24_2020,0,0,0,0,0,0,0,0,0,0,Restaurant,Restaurant,Restaurant
SZ,22,May25_2020,May31_2020,0,0,0,0,0,0,0,0,0,0,Restaurant,Restaurant,Restaurant
SZ,23,June1_2020,June7_2020,0.0392155722,-2.87560000000048E-006,0.1643806304,0.010727731,0.0033843376,0.0282861348,0.0009367615,0.0074360174,0.000474796,0.0022337756,Nightclubs,Bar,Nightclubs
SZ,24,June8_2020,June14_2020,0.0392155722,-2.87560000000048E-006,0.1643806304,0.010727731,0.0033843376,0.0282861348,0.0009367615,0.0074360174,0.000474796,0.0022337756,Nightclubs,Bar,Nightclubs
SZ,25,June15_2020,June21_2020,0.0392155722,-2.87560000000048E-006,0.1643806304,0.010727731,0.0033843376,0.0282861348,0.0009367615,0.0074360174,0.000474796,0.0022337756,Nightclubs,Bar,Nightclubs
SZ,26,June22_2020,June28_2020,0.0661233454,0.034660577,0.1643806304,0.0132071786,0.0038629654,0.0282861348,0.0012405532,0.0099493254,0.002440291,0.0035537208,Nightclubs,Schools,Nightclubs
SZ,27,June29_2020,July5_2020,0.0661233454,0.034660577,0.1643806304,0.0132071786,0.0038629654,0.0282861348,0.0012405532,0.0099493254,0.002440291,0.0035537208,Nightclubs,Schools,Nightclubs
SZ,28,July6_2020,July12_2020,0.0612344516,0.0329109032,0.160377805,0.0134155938,0.0039383106,0.0278809188,0.0012462865,-0.011832261,0.0033235874,0.0025534348,Nightclubs,MaskInShop,Nightclubs
SZ,29,July13_2020,July19_2020,0.0612344516,0.0329109032,0.160377805,0.0134155938,0.0039383106,0.0278809188,0.0012462865,-0.011832261,0.0033235874,0.0025534348,Nightclubs,MaskInShop,Nightclubs
SZ,30,July20_2020,July26_2020,0.0612344516,0.0329109032,0.160377805,0.0134155938,0.0039383106,0.0278809188,0.0012462865,-0.011832261,0.0033235874,0.0025534348,Nightclubs,MaskInShop,Nightclubs
SZ,31,July27_2020,August2_2020,0.0612344516,0.0329109032,0.160377805,0.0134155938,0.0039383106,0.0278809188,0.0012462865,-0.011832261,0.0033235874,0.0025534348,Nightclubs,MaskInShop,Nightclubs
SZ,32,August3_2020,August9_2020,0.0612344516,0.0329109032,0.160377805,0.0134155938,0.0039383106,0.0278809188,0.0012462865,-0.011832261,0.0033235874,0.0025534348,Nightclubs,MaskInShop,Nightclubs
SZ,33,August10_2020,August16_2020,0.0612344516,0.0329109032,0.160377805,0.0134155938,0.0039383106,0.0278809188,0.0012462865,-0.011832261,0.0033235874,0.0025534348,Nightclubs,MaskInShop,Nightclubs
SZ,34,August17_2020,August23_2020,0.0584977162,0.028238407,0.1567968164,0.0136049942,0.003988516,0.0278809188,0.0061842097,-0.0120222018,0.0035354004,0.0007543816,Nightclubs,MaskInShop,Nightclubs
